# Chunk-averaged data for fix netEndForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount v_netEndForce
  16 42 -0.777918
  17 42 0.940362
  18 42 -0.156513
  19 42 0.670326
  20 42 -1.43178
5800 20 840
  1 42 -0.23152
  2 42 0.198477
  3 42 -1.92684
  4 42 -1.0416
  5 42 1.95079
  6 42 2.24711
  7 42 2.07837
  8 42 1.15106
  9 42 1.96547
  10 42 -0.413687
  11 42 -0.602472
  12 42 0.450629
  13 42 -1.04046
  14 42 -0.20816
  15 42 -1.81812
  16 42 -1.09841
  17 42 -0.666804
  18 42 0.0983334
  19 42 3.72644
  20 42 0.408949
5900 20 840
  1 42 -0.455322
  2 42 -0.634218
  3 42 0.290007
  4 42 0.730788
  5 42 -0.324437
  6 42 1.88739
  7 42 -1.6831
  8 42 -0.337838
  9 42 -0.355815
  10 42 0.162205
  11 42 -0.0371036
  12 42 1.53533
  13 42 -0.432045
  14 42 -0.355925
  15 42 1.2578
  16 42 0.179638
  17 42 1.15484
  18 42 0.351125
  19 42 -0.80434
  20 42 0.252007
6000 20 840
  1 42 1.58874
  2 42 1.12982
  3 42 1.03509
  4 42 0.75598
  5 42 -1.25602
  6 42 -0.434638
  7 42 0.92937
  8 42 -0.523511
  9 42 -0.476826
  10 42 -0.87373
  11 42 -0.954686
  12 42 0.0386273
  13 42 -0.0555059
  14 42 -0.0742804
  15 42 -1.56454
  16 42 0.38915
  17 42 -0.72041
  18 42 0.332322
  19 42 0.431574
  20 42 0.652756
6100 20 840
  1 42 -0.855111
  2 42 -0.415142
  3 42 1.16049
  4 42 -1.24114
  5 42 0.623007
  6 42 1.60159
  7 42 0.1747
  8 42 -0.428124
  9 42 -2.8484
  10 42 0.559234
  11 42 -1.29327
  12 42 1.03317
  13 42 0.80503
  14 42 1.13602
  15 42 -0.542875
  16 42 -1.34408
  17 42 1.64394
  18 42 0.352002
  19 42 -0.34741
