# Chunk-averaged data for fix sternForces and group all
# Timestep Number-of-chunks Total-count
# Chunk Ncount c_sternComp
  13 42 -0.956115
  14 42 2.02882
  15 42 0.276393
  16 42 0.408611
  17 42 -1.38176
  18 42 -0.658741
  19 42 -0.861321
  20 42 -1.37267
5800 20 840
  1 42 -0.309479
  2 42 0.384042
  3 42 -1.50553
  4 42 -0.712286
  5 42 -2.23018
  6 42 -0.147869
  7 42 1.14278
  8 42 0.782374
  9 42 0.497784
  10 42 -0.319406
  11 42 0.492426
  12 42 -0.624863
  13 42 -0.76458
  14 42 -1.01462
  15 42 -1.28739
  16 42 -1.45041
  17 42 -0.215405
  18 42 -0.150546
  19 42 -2.07834
  20 42 -0.437991
5900 20 840
  1 42 0.456925
  2 42 2.77182
  3 42 -0.851521
  4 42 -1.5344
  5 42 0.176697
  6 42 0.856823
  7 42 -0.495895
  8 42 0.453111
  9 42 -1.73139
  10 42 1.09852
  11 42 2.38467
  12 42 -1.19598
  13 42 -0.90889
  14 42 -0.410375
  15 42 -0.00175162
  16 42 1.61115
  17 42 -0.882548
  18 42 0.893941
  19 42 0.318667
  20 42 -0.160847
6000 20 840
  1 42 -0.809374
  2 42 -2.62006
  3 42 -0.562703
  4 42 0.343424
  5 42 -1.3235
  6 42 1.52317
  7 42 -2.13691
  8 42 -0.896843
  9 42 0.493112
  10 42 1.03016
  11 42 -0.521154
  12 42 0.240401
  13 42 -1.18884
  14 42 0.444488
  15 42 -1.14493
  16 42 1.5529
  17 42 -1.34048
  18 42 0.0862379
  19 42 -0.867255
  20 42 -0.0159093
6100 20 840
  1 42 -1.80341
  2 42 -0.539822
  3 42 0.423787
  4 42 0.0878918
  5 42 0.583122
  6 42 -0.81843
  7 42 1.90811
  8 42 0.917628
  9 42 -0.24916
  10 42 0.205534
  11 42 -0.741687
  12 42 1.14606
  13 42 -0.0764014
  14 42 -1.34166
  15 42 -1.14346
  16 42 0.645222
  17 42 -0.969913
  18 42 -0.394362
  19 42 1.39566
  20 42 0.233398
6200 20 840
